year,life_exp,gdp_per_capita,health_exp_gdp,health_exp_percap,pm25,urban_pop_pct,pop_65_plus_pct,unemployment,med_beds,infant_mortality,total_fertility,life_exp_next_year,gdp_per_capita_lag1,health_exp_gdp_lag1,health_exp_percap_lag1,pm25_lag1,urban_pop_pct_lag1,pop_65_plus_pct_lag1,unemployment_lag1,med_beds_lag1,infant_mortality_lag1,total_fertility_lag1,gdp_per_capita_pct_change,health_exp_gdp_pct_change,health_exp_percap_pct_change,pm25_pct_change,urban_pop_pct_pct_change,pop_65_plus_pct_pct_change,unemployment_pct_change,med_beds_pct_change,infant_mortality_pct_change,total_fertility_pct_change
1995,-1.8780637765874018,-1.2468430078354296,-0.1635605859814691,-0.0863658109932024,0.07339829416046835,-1.6925638231524323,-1.3530658612452098,-1.7332296585038154,-0.3379159340782732,1.9508724918851201,-0.09817876225867689,70.823,-0.18818881834858964,-0.07574302023128084,0.004241025237391074,0.2055381867063933,-0.027280185506457878,-0.20503674582801687,0.49875609216833405,-0.3283700279776304,-0.2910189331601758,0.08104178710163698,-0.05826881939068116,-0.04949194530256624,0.20258841727473167,0.39310072949295616,-0.14789256787624333,-0.24507988627978358,-0.2860066135184266,-0.01663931613689728,-0.3160850204088142,0.24570929912086115
1996,-1.687103892141265,-1.2052811451991885,-0.1635605859814691,-0.0863658109932024,0.12660286905545862,-1.56358982713794,-1.2725669498239855,-1.7332296585038154,-0.3893378624986981,1.812676093404474,-0.35468972396093307,71.227,-1.2553583441913552,-0.07574302023128084,0.004241025237391074,-0.03184563809921488,-1.7120359963094878,-1.4014811175845077,-1.7547146151740474,-0.2725903451586525,1.9656423654584774,-0.23528007697754352,0.46613703370969806,-0.23684707456415044,-1.3489066264402452,0.49851721440987246,1.7242773767160864,-0.24507988627978358,0.4246822191320341,-1.669962848500625,1.932584820911223,-0.2727058947327261
1997,-1.519391297975521,-1.163403283056438,-0.1635605859814691,-0.0863658109932024,0.19741613605435218,-1.4354574815325767,-1.1901738765023495,-1.7332296585038154,-0.3893378624986981,1.665266601691785,-0.5583896053127256,71.601,-1.210782474469977,-0.07574302023128084,0.004241025237391074,0.029518718120627885,-1.5769219786502695,-1.312109778611727,-1.7547146151740474,-0.3283700279776304,1.8240109032020766,-0.5340285041634363,0.15270609199970717,-0.23684707456415044,-1.3489066264402452,0.5328320779547547,1.4857349350992632,-0.25834495203592445,0.3299451865872204,-1.0665604493630867,1.932584820911223,-0.18302055503435638
1998,-1.3641326093171402,-1.125220955143998,-0.1635605859814691,-0.0863658109932024,0.27921656169808523,-1.3064182042071573,-1.0956777309644823,-1.7332296585038154,-0.4064785052769384,1.4994309235150092,-0.5961118055630565,71.952,-1.1658676894079307,-0.07574302023128084,0.004241025237391074,0.11119234392794744,-1.4426896795680981,-1.2206355070367247,-1.7547146151740474,-0.3283700279776304,1.6729373434619157,-0.7712699022228227,-0.4623405478947034,-0.23684707456415044,-1.3489066264402452,0.5536382274880483,1.3249581915152275,0.06254768681722112,-0.31234985666800785,-1.2724271454790033,1.932584820911223,0.13029830443606716
1999,-1.2184219148810647,-1.0848935239428927,-0.1635605859814691,-0.0863658109932024,0.3653826125276504,-1.1783352468186972,-0.9966456788167027,-1.7332296585038154,-0.41504882670891025,1.3243821521061911,-0.5357562851625257,72.288,-1.1249164334553223,-0.07574302023128084,0.004241025237391074,0.2055381867063933,-1.307507272772542,-1.1157241870525976,-1.7547146151740474,-0.3469632555529673,1.502979588754234,-0.8152034944560411,-0.5016003924729677,-0.23684707456415044,-1.3489066264402452,0.5611546945216164,1.1206374722880805,0.11206453914180625,-0.31254069478524044,-1.1703074995280833,1.541890089824093,0.31985758158569383
2000,-1.078938173198668,-1.0359620976633772,-0.20109405030221372,-1.2067927619498127,0.4492927550840122,-1.030291807605717,-0.9016421240234593,-1.7332296585038154,-1.1092455058161648,1.149333380697373,0.20359883974397577,72.675,-1.0816645143786543,-0.07574302023128084,0.004241025237391074,0.30491919383968,-1.1733267131155027,-1.005777021986515,-1.7547146151740474,-0.3562598693871189,1.3235797365627933,-0.7449097468828899,-0.05826881939068116,-0.3378851000602889,-2.177270113488764,0.5556901518497313,1.5387663367731703,-0.11004457524301475,-0.31273035851406117,-2.447906760835771,1.270524043258026,1.6263646120666715
2001,-0.9182827921537636,-0.9846465849613764,-0.7222997367091902,-1.1988553655749576,0.5364313037841701,-0.9202912126516507,-0.8098779101905728,-1.0209734726946735,-1.1263861649637348,0.9466453295924254,-0.2867897635103367,73.034,-1.0291846507544729,-0.11878292030742459,-1.2643257505842596,0.4016983127114898,-1.0182354196899166,-0.9003023671229526,-1.7547146151740474,-1.1092862875719711,1.1441798843713524,0.11618866088821064,-0.1566321471288263,-1.6457135079893133,-0.9061530696200815,0.5608827004668233,0.29533271161281455,-0.2918051782962435,2.363061901075314,-1.373554932762557,0.15427998149960087,-0.6841435300663978
2002,-0.7692510562490557,-0.922247152896267,-0.46982107258618383,-1.1704099600018516,0.6264901324183076,-0.7921634811703501,-0.7218252239396898,-0.12235634937991204,-1.0921048466685948,0.7439572784874781,-0.2641564433601368,73.385,-0.9741478101559116,-0.7164533210563304,-1.255338893101876,0.5022009659790025,-0.9029980634132437,-0.7984240868426636,-1.0247170620913035,-1.1278795329038576,0.9364537397286312,-0.4549480381436421,0.3150372378954443,0.48725936929885333,0.18226954221203964,0.5653792330817775,0.6801498143326484,-0.4746328438042248,1.938318562721384,-0.4453053409452205,-0.3160850204088142,0.24570929912086115
2003,-0.6235403618129802,-0.8472139986957724,-0.40256433663329816,-1.1365592164221208,0.704159046587179,-0.6631030130529102,-0.6385067949948754,0.5720296095451302,-1.0749641875210247,0.5504823206145735,-0.23397868315987133,73.727,-0.9072232601479707,-0.42693417669089817,-1.2231325128429889,0.6060717712989291,-0.768770598118187,-0.7006664112237516,-0.09370569004374613,-1.0906930422400847,0.7287275950859101,-0.4285878828037094,0.7557543841909663,-0.04949194530256624,0.27017217774578023,0.5406871035454525,0.5790438625315787,-0.6742637542043037,1.227314069565222,-0.7631150351358618,-0.550690498181452,0.2598172490716166
2004,-0.48156583902911193,-0.7647119874898227,-0.6572258229170413,-1.0970021112570614,0.7541278518915083,-0.5529177302528901,-0.5647248849268647,0.38822156159438387,-1.0149718805045298,0.34779426950962605,0.030076718592450365,74.085,-0.8267488084685883,-0.3498103820386715,-1.184806115387589,0.6956524685542659,-0.6335659917077031,-0.6081647931963644,0.6257121883566383,-1.0720997969081982,0.5304435479269488,-0.3934410090171338,0.7772021113019314,-0.9408671770616178,0.32157391746421626,0.487508449781927,-0.006909520606526537,-0.9942536841092737,-0.7666362446451964,-0.01663931613689728,-1.4897230329075888,0.6984312723708878
