year,life_exp,gdp_per_capita,health_exp_gdp,health_exp_percap,pm25,urban_pop_pct,pop_65_plus_pct,unemployment,med_beds,infant_mortality,total_fertility,life_exp_next_year,gdp_per_capita_lag1,health_exp_gdp_lag1,health_exp_percap_lag1,pm25_lag1,urban_pop_pct_lag1,pop_65_plus_pct_lag1,unemployment_lag1,med_beds_lag1,infant_mortality_lag1,total_fertility_lag1,gdp_per_capita_pct_change,health_exp_gdp_pct_change,health_exp_percap_pct_change,pm25_pct_change,urban_pop_pct_pct_change,pop_65_plus_pct_pct_change,unemployment_pct_change,med_beds_pct_change,infant_mortality_pct_change,total_fertility_pct_change
2005,-0.33294923330799037,-0.6617603024696271,-0.8852191464270242,-1.0524122321235985,0.6472986844100459,-0.44271433274356387,-0.49339910271188736,0.46826987901280726,-0.9721202326356049,0.17274549810080753,0.23277892149982596,74.404,-0.7382638689110123,-0.6400563715512141,-1.1400188766325474,0.6092147943447179,-0.5181351552129183,-0.526250789909497,0.4565185251991584,-1.0070234382465955,0.3227174032842277,0.01294186820381833,1.2803625519977058,-0.88138585583291,0.2542132927719378,0.18646224520451807,-0.0869320002034778,-1.1026487459443344,-0.2481240637660648,-0.047045545139749886,-1.0504023070162243,0.45829722321781
2006,-0.20052270474642747,-0.5345653529242043,-1.3351480998555167,-1.0039430218351146,0.5602029885576474,-0.3214879637236386,-0.41652286177359915,0.3163985669005456,-0.91212792561911,0.016122913156075436,0.34372036493803926,74.789,-0.6278462743190192,-0.9111455445066258,-1.0895334441299471,0.6142054696886174,-0.40268534162795466,-0.44706362393059423,0.50840967014737,-0.9605403249168794,0.1433175510927865,0.14284892262703716,1.8191627007391935,-1.4998104824019596,0.2244715596501544,0.00986839278918739,0.09487418355884937,-0.9922105169323926,-0.7527737549923426,0.08453535574919036,-0.938346134808308,0.46692531257660586
2007,-0.04069758406867835,-0.37420633790784136,-1.871602052850467,-0.9217573329734823,0.3737986452953769,-0.182949401191762,-0.3422268425625594,0.18140184502297935,-0.8435652890288301,-0.13128657855661346,0.46575595272007525,74.833,-0.49142732818617585,-1.4334111218131147,-1.034655765786181,0.5180039285787742,-0.2756877896355312,-0.3617142388699977,0.35273623530273207,-0.8954639662552769,-0.017198106131134365,0.27959319044094944,2.4730612415354654,-1.8263862423571318,0.5570857345069926,-0.1851212255947058,0.4007656584164507,-1.1013035557889685,-0.7176133298105664,0.13478603097235758,-1.135430588926254,0.4862097716945594
2008,-0.022431855991222827,-0.25183038060253315,-1.4353401808761093,-0.7413608262604335,0.1621323131122237,-0.08436881132215696,-0.27539968090767125,0.586392010655678,-0.7235806749958402,-0.2510567905731734,0.6599034787369513,75.317,-0.3194393057873712,-2.0561126201815316,-0.9416037071500799,0.31211103208261715,-0.13055386835800967,-0.2792294623679469,0.21435984877416456,-0.821090984927731,-0.16827166587129502,0.4300118850362546,0.5454610017416611,1.124984783660707,1.3914422767278947,-0.24324694085612106,-0.5801189373228399,-1.329911336398639,0.6720767399895613,0.5055911641839049,-0.44798661199307904,0.624081545837909
2009,0.17849115286079975,-0.12196833097961032,-0.5583479954040251,-0.5826778080258939,-0.0007493495028581853,0.03678475707353638,-0.20854474496356465,0.8057616837067229,-0.5864554018152808,-0.36161390935769033,0.7320154169717901,75.668,-0.18818881834858964,-1.5497114279770625,-0.7373556616214757,0.07831500855011111,-0.027280185506457878,-0.20503674582801687,0.629489008359867,-0.6909382676045258,-0.2910189331601758,0.6693143537106044,0.43712934430456746,2.3574703849791887,0.7463882925328239,-0.15440750058444172,-0.14789256787624333,-1.3584344269349615,0.1625508756870612,0.5685656117232645,-0.47190358180481,0.3824511424758691
2010,0.3242018472968811,0.03860264847185953,-0.7937353745455311,-0.4599933449183538,-0.04079968406084276,0.11673446765290746,-0.13210968129571923,0.48514446924750415,-0.4236191399133661,-0.46295793491016407,0.582244468330201,75.889,-0.04890935783916383,-0.5317221953466905,-0.5576920033637285,-0.10159591366881854,0.09964110006690413,-0.13081319377276562,0.8543506364687888,-0.5421923049494345,-0.4043241029652966,0.7581981277896476,0.9589711085225451,-0.879410437220761,0.3046709523219505,0.09445543443581707,-1.0769665121334784,-1.1497696843076968,-1.1388131849742376,0.6719013348241614,-0.4577468459971229,-0.040491882260165896
2011,0.41594561786773926,0.1942829271009973,-0.5765362324791563,-0.20268122759003573,0.6256302456264399,0.34932945761171175,-0.03957021823707913,0.518893649716895,-0.24364221886388107,-0.5550888672305947,0.4768500970638967,76.2,0.12330600035369776,-0.8049536122653578,-0.4187865319495823,-0.14583350622416666,0.1833969496248005,-0.04595361165096301,0.5257067184634422,-0.3655564742965132,-0.5081871752866571,0.5735933662408648,0.43925631285430244,0.34480047546078885,0.9232168156946339,1.5705269914800284,2.0087664378456758,-0.7946354080134006,-0.29113498572794544,0.6952671894419042,-0.39489093901103345,0.04067978613989901
2012,0.5450511049606755,0.3305400878453395,-0.13156082978022648,0.029949605603631097,0.07003244427890098,0.46314349265284366,0.06810522401074956,0.5695174204209826,0.03060832749723831,-0.6472197995510254,1.197969479412291,76.452,0.29027599106602653,-0.5528346177943834,-0.1274533015410007,0.590271598054365,0.42706501103159983,0.05678536426011112,0.5603008150955833,-0.17032739831170512,-0.6026081501242577,0.44368631181764595,-0.3142435633141931,0.9387084791833595,0.5332182538388361,-0.8958136311385846,-0.5322007619454935,-0.4856665663375927,-0.24979606709221572,1.144169159368112,-0.8904505535100784,1.6532601557445255
2013,0.6496639112224716,0.4752018714732496,0.16411692835605624,0.256898866702716,1.8500095293211631,0.5876561433717569,0.19311560387607588,0.6032666008903735,0.2705775555632177,-0.72092454540737,0.7320154169717901,76.714,0.4364143270473508,-0.03631899058952348,0.13593535201578302,-0.02341389126596482,0.5462973525548201,0.17632857643872404,0.6121919600437965,0.12716452699847794,-0.6970291249618582,1.3325240526080855,-0.3419017778918941,0.5001332052847725,0.3577535295952985,3.8479419213619313,-0.3825101989084651,-0.14947860903419813,-0.29204964362755825,0.8067594482157705,-0.12351305488061502,-0.600300699425243
2014,0.7584280193200554,0.6240172591186857,0.2836475896333018,0.42665137800386344,1.1794510834972483,0.7005716204735517,0.3381897573544651,0.6538903715944612,0.48483579490784234,-0.7946292912637145,1.0371043864268794,76.975,0.5915667771937257,0.3068958967232943,0.39289123136317416,1.9426595988806385,0.6767376351536546,0.3151173480731499,0.6467860566759376,0.38746996164488806,-0.7725659048319388,0.7581981277896476,-0.4618146677368357,0.04277815471562982,0.07629738879055249,-0.9602409842052199,-0.6565026975852832,0.21870398748543216,-0.2511560842904794,0.5847761333210958,-0.5711466781885243,0.8243930885828555
2015,0.8667769972340588,0.7729075119799244,0.5923058106636033,0.5841816360910942,0.5366088680710053,0.8420932996636551,0.5194432900442084,0.6876395520638535,0.699094034252467,-0.8591209438880161,0.48794424140771814,77.214,0.7511740448053311,0.4456439131425323,0.585087961158961,1.2019943425652717,0.7950286413919715,0.47618128195496745,0.6986772016241508,0.6198855282934688,-0.8481026847020191,1.1342448642779097,-0.6474453798046329,0.4983419017020958,-0.004748309500043693,-0.991121881405777,-0.18790841596837618,0.9008563174862044,-0.29294454649694124,0.5151167108705299,-0.29884146316712734,-0.767438140309321
2016,0.9659931111093373,0.9264553622671777,0.6515071303521724,0.6101405834672586,-0.151616435153568,0.9773978739026795,0.7241743512285358,0.5357682399515904,0.8962116144495216,-0.9143995032802744,1.0537456029426122,77.235,0.9108616067515645,0.803926176972002,0.7634464444366537,0.49194304543487094,0.9432876955590244,0.6774122132065181,0.7332712982562934,0.8523010949420493,-0.9141973670883395,0.4573607385990373,-0.7311826669270116,-0.11207920647411751,-0.3737007226652714,-1.1656210179213353,-0.3671818403986339,1.2398700244021355,-0.7422100359093867,0.3854121792200432,0.0916035605886326,1.3484651282397349
2017,0.9747108449644875,1.0916074877128594,0.8231468430236563,0.8236791000374378,-0.3229014812845913,1.1028651356237047,0.9536122660407266,0.3838969278393287,1.1361808425155013,-0.9696780626725329,1.1813282628965582,77.709,1.0755445284557028,0.872645496253086,0.7928376137124274,-0.2682361362458946,1.0850336691508664,0.9047083187602816,0.5775978634116539,1.0661234162587436,-0.9708499519908999,1.1547565044499974,-0.6961312431856961,0.14982181578114565,0.09676927699831903,-0.18514478932571266,-0.5960776132011114,1.5564019952519854,-0.7494592277497142,0.5033305429901858,-0.31990494471183345,0.4789367079065682
2018,1.1714825519807281,1.2674222779864033,1.0221045556040975,1.151768551874186,-1.281332471694834,1.2157515608332028,1.2041549638183213,0.11390348408419623,1.3590094114339109,-1.0249566220647912,-0.23872221311258643,77.94,1.252673250825716,1.071880315315112,1.0346096161155192,-0.45742901478721987,1.2164740085966839,1.159434417484667,0.4219244285670158,1.326428850905154,-1.02750253689346,1.3120124124359975,-0.6907780142997073,0.20560163523758052,0.30633059205673624,-1.8969354795562146,-0.8557786060345267,1.7551611360980084,-1.054175754262036,0.38325583218125386,-0.8019577652066691,-2.3339971267365507
2019,1.267377624387374,1.4373542498621268,1.4123993159222838,1.3301134014153877,-1.7491131486753848,1.324139044180625,1.4593355702427455,0.5357682399515904,1.5561269916309657,-1.0618089949929634,-0.477246316504747,78.019,1.4412378792909253,1.3028251430009277,1.4060781690116144,-1.5160638580193682,1.3347345798790398,1.4375914257586035,0.14517165550988081,1.5681410402196778,-1.0841551217960204,-0.4383142155820971,-0.9360680365794237,0.6273226583114683,-0.08582514589945323,-0.974924843522919,-0.9678784884269366,1.61692929704709,0.7258232617152072,0.2519836605186025,0.8517512162131069,-0.26082173635953765
2020,1.3001729088900837,1.5035085576975127,1.8892171625542338,1.55487042102218,-2.220031991765233,1.3970272362367286,1.7326380899485736,1.2782502102782047,1.7103929239590954,-1.1078744611531788,-1.9194850812015347,78.117,1.6234930757465333,1.7558689330571533,1.608003292799217,-2.0327509524447755,1.4482820296874204,1.7208975236100588,0.5775978634116539,1.7819633615363724,-1.1219235117310606,-0.7323143913820109,-2.495291941772235,0.7821711993019077,-0.022582762620874018,-1.0666824817742704,-1.5709548841777798,1.722213592078265,1.4561745118174818,0.08336287021268177,-0.6323465876251615,-2.897646772244797
2021,1.3408556668807827,1.7764368618856348,1.39393357748784,2.0012622716097006,-2.220031991765233,1.5043339188196494,1.9950022627057429,0.518893649716895,1.881799515434795,-1.1447268340813512,-2.5795866696589105,78.202,1.6944447997678411,2.3093464233224026,1.8624770784060696,-2.5529043078951212,1.5246401853850253,2.024322895450611,1.338667989318775,1.9493025695233501,-1.169133999149861,-2.5099898729628882,0.26946887995271,-1.2780719937207727,0.3263253973342454,0.17774862803938293,-1.0413896135882712,1.320521480300165,-2.0828272469144875,0.11844363746499723,0.12319411251068381,-1.4962518743273698
2022,1.3761417324849579,1.886417338366609,2.6393108303481214,2.4367584480712763,-2.220031991765233,1.5488243284668919,2.2647087886101214,1.244501029808814,2.0360654477629248,-1.1723661137774803,-3.0399936599275,77.953,1.9871654758656883,1.7344343944030676,2.367889653647488,-2.5529043078951212,1.6370553811104624,2.31560431781792,0.5603008150955833,2.135235022842215,-1.206902389084901,-3.3236182664556746,-2.0396554829216895,2.452680322588661,0.21027069478306412,0.17774862803938293,-2.0482117544361573,1.2522935538364268,1.418491696113494,0.047312322134884024,1.1136508286551527,-1.099035017033359
