feature,importance
infant_mortality,0.16098533828778389
life_exp,0.12750978143158054
gdp_per_capita,0.11509399350481392
pop_65_plus_pct,0.1134102475954123
urban_pop_pct,0.07460313124063099
infant_mortality_lag1,0.05736959681445335
pop_65_plus_pct_lag1,0.04331889675830187
med_beds_pct_change,0.03625673295166811
total_fertility,0.03282231873980265
total_fertility_lag1,0.026254259780076197
unemployment,0.02388872874450244
gdp_per_capita_lag1,0.022543580715581754
health_exp_gdp,0.02135658340303572
urban_pop_pct_lag1,0.01738572178615599
med_beds,0.015249183633015154
health_exp_percap,0.01183640941072954
pm25_lag1,0.010497997322795185
unemployment_lag1,0.010033305279292333
pm25_pct_change,0.009714362483269958
pop_65_plus_pct_pct_change,0.00942721395088336
med_beds_lag1,0.009087166467527873
urban_pop_pct_pct_change,0.008408371899283753
pm25,0.00812154866542952
gdp_per_capita_pct_change,0.007734415441827622
health_exp_percap_lag1,0.007081723816869645
health_exp_gdp_lag1,0.005565818180872053
infant_mortality_pct_change,0.005323323450442104
health_exp_percap_pct_change,0.0044302445565111434
health_exp_gdp_pct_change,0.0018709833849718358
unemployment_pct_change,0.0017434284969499536
total_fertility_pct_change,0.0010755918055292966
