feature,importance
infant_mortality,0.16163809217088648
life_exp,0.12979568577282952
gdp_per_capita,0.11574866764183558
pop_65_plus_pct,0.11134971503185123
urban_pop_pct,0.07415493031121703
infant_mortality_lag1,0.05994435208484117
pop_65_plus_pct_lag1,0.043834967702875885
med_beds_pct_change,0.03552390795591498
total_fertility,0.03272600491826366
total_fertility_lag1,0.026348733656972493
unemployment,0.024710395830843262
health_exp_gdp,0.02203726725140238
gdp_per_capita_lag1,0.019745983978058452
urban_pop_pct_lag1,0.018312332121787633
med_beds,0.015728024916659977
pm25_pct_change,0.011686728194535576
gdp_per_capita_pct_change,0.011520168051982964
pop_65_plus_pct_pct_change,0.010737593114731667
unemployment_lag1,0.010083650990430479
health_exp_percap,0.009759213837852951
urban_pop_pct_pct_change,0.008351124009753514
pm25_lag1,0.007779571018680599
pm25,0.007745472713099062
med_beds_lag1,0.007214587467891736
health_exp_percap_lag1,0.005428063436472012
infant_mortality_pct_change,0.005137686945072142
health_exp_gdp_lag1,0.0050710552866817605
health_exp_percap_pct_change,0.004802900738094621
unemployment_pct_change,0.0017739079509634344
total_fertility_pct_change,0.0009017383072925653
health_exp_gdp_pct_change,0.0004074765902253301
